name_of_dish,ingredients,preparation_time,cooking_time,course,cuisine_state,method,url,flavour_type
Kathal Ki Sabzi,"raw jackfruit, onion, tomato, ginger, garlic, cumin, coriander powder, garam masala, oil, salt",20 minutes,35 minutes,Main Course,Uttar Pradesh,"Boil raw jackfruit until tender. | Heat oil and saut̩ onion, ginger, garlic. | Add tomatoes and spices and cook well. | Add jackfruit pieces and mix. | Cover and cook until flavours blend. | Serve hot with roti.",https://www.vegrecipesofindia.com/wp-content/uploads/kathal-sabzi-recipe.jpg,Meaty & Spiced
Kachhe Kele Ki Sabzi,"raw banana, onion, tomato, turmeric, cumin, coriander, oil, salt",10 minutes,20 minutes,Main Course,Uttar Pradesh,Boil raw bananas until tender and peel them. | Heat oil and add cumin seeds until they splutter. | Saute onions until golden brown. | Add tomatoes and cook until soft. | Add turmeric and coriander powder and mix well. | Add banana pieces and toss to coat with spices. | Cook for 5 minutes and serve hot.,https://www.vegrecipesofindia.com/wp-content/uploads/kachhe-kele-sabzi-recipe.jpg,Mild & Savory
Arbi Ki Sabzi,"colocasia (arbi), ajwain, turmeric, red chilli powder, amchur, oil, salt",15 minutes,25 minutes,Main Course,North Indian,"Boil arbi until tender and peel. | Heat oil and add ajwain. | Add arbi and fry until crisp. | Add turmeric, red chilli and amchur. | Toss well and serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/arbi-sabzi-recipe.jpg,Tangy & Crispy
Shakarkandi Chaat,"roasted sweet potato, lemon juice, chaat masala, black salt, cumin powder, coriander, green chilli",10 minutes,20 minutes,Snack,North Indian,Roast or boil sweet potatoes until tender. | Peel and cut into bite-sized cubes. | Place in a bowl and sprinkle chaat masala and black salt. | Add cumin powder and squeeze lemon juice. | Toss in chopped coriander and green chilli. | Mix everything well and serve immediately.,https://www.vegrecipesofindia.com/wp-content/uploads/shakarkandi-chaat-recipe.jpg,Sweet & Tangy
Paneer Saag,"mixed greens (spinach, bathua, mustard), paneer, onion, ginger, garlic, ghee, garam masala, salt",15 minutes,30 minutes,Main Course,Punjab,"Blanch all greens and blend coarsely. | Saut̩ onion, ginger, garlic in ghee. | Add blended saag and cook. | Add garam masala and simmer. | Add paneer cubes and serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/paneer-saag-recipe.jpg,Earthy & Rich
Nimona,"fresh green peas, potato, onion, tomato, ginger, green chilli, turmeric, oil, salt",15 minutes,25 minutes,Main Course,Uttar Pradesh,"Coarsely grind raw peas. | Heat oil and saut̩ onion, ginger and chilli. | Add tomato and spices. | Add ground peas and potato. | Add water and cook until thick. | Serve hot with roti.",https://www.vegrecipesofindia.com/wp-content/uploads/nimona-recipe.jpg,Fresh & Savory
Hare Chane Ki Sabzi,"fresh green chickpeas, onion, tomato, ginger, garlic, cumin, coriander, oil, salt",10 minutes,20 minutes,Main Course,North Indian,"Heat oil and saut̩ cumin and onion. | Add ginger, garlic and tomato. | Add spices and green chana. | Add water and cook until tender. | Garnish with coriander and serve.",https://www.vegrecipesofindia.com/wp-content/uploads/hare-chane-sabzi-recipe.jpg,Fresh & Savory
Palak Corn Pulao,"basmati rice, spinach, sweet corn, onion, ginger, cumin, garam masala, ghee, salt",30 minutes (soaking),25 minutes,Main Course,North Indian,"Saut̩ onion and ginger in ghee. | Add cumin, spinach puree and corn. | Add soaked rice and spices. | Add water and cook until fluffy. | Serve hot with raita.",https://www.vegrecipesofindia.com/wp-content/uploads/palak-corn-pulao-recipe.jpg,Mild & Aromatic
Methi Dal,"toor dal, fresh fenugreek leaves, onion, tomato, garlic, turmeric, cumin, ghee, salt",10 minutes,25 minutes,Main Course,Gujarat,"Cook toor dal until soft. | Prepare tadka with ghee, cumin, garlic and onion. | Add tomato and fenugreek leaves. | Mix into dal and simmer. | Serve hot with rice.",https://www.vegrecipesofindia.com/wp-content/uploads/methi-dal-recipe.jpg,Slightly Bitter & Savory
Drum Stick Sambar,"drumstick, toor dal, tamarind, tomato, sambar powder, mustard seeds, curry leaves, asafoetida, oil, salt",15 minutes,30 minutes,Main Course,Tamil Nadu,"Cook dal and drumstick pieces together. | Add tamarind, tomato and sambar powder. | Simmer until drumstick is tender. | Temper with mustard seeds, curry leaves and asafoetida. | Serve with rice.",https://www.vegrecipesofindia.com/wp-content/uploads/drumstick-sambar-recipe.jpg,Tangy & Spiced
Raw Papaya Sabzi,"raw papaya, mustard seeds, green chilli, turmeric, curry leaves, grated coconut, oil, salt",15 minutes,20 minutes,Main Course,Kerala,Peel and grate or julienne raw papaya. | Heat oil and add mustard seeds until they splutter. | Add curry leaves and dry red chillies. | Add the papaya and mix well. | Add turmeric and salt and stir. | Cook covered on low flame for 10 minutes. | Garnish with coconut and serve.,https://www.vegrecipesofindia.com/wp-content/uploads/raw-papaya-sabzi-recipe.jpg,Mild & Fresh
Chawli Sabzi,"cowpeas (chawli), onion, tomato, garlic, cumin, turmeric, coriander powder, oil, salt",8 hours (soaking),30 minutes,Main Course,Maharashtra,"Soak and cook cowpeas. | Heat oil and saut̩ cumin and onion. | Add garlic, tomato and spices. | Add cooked cowpeas and simmer. | Serve hot with bhakri.",https://www.vegrecipesofindia.com/wp-content/uploads/chawli-sabzi-recipe.jpg,Earthy & Savory
Val Dal,"field beans (val), kokum, coconut, ginger, garlic, mustard seeds, curry leaves, oil, salt",8 hours (soaking),35 minutes,Main Course,Maharashtra,Soak field beans overnight and drain. | Pressure cook until soft. | Heat oil and add mustard seeds and curry leaves. | Add onion and saute until golden. | Add tomato and green chillies and cook until soft. | Add the cooked beans and spices. | Simmer for 10 minutes and serve.,https://www.vegrecipesofindia.com/wp-content/uploads/val-dal-recipe.jpg,Tangy & Coconuty
Varan,"toor dal, turmeric, jaggery, tamarind, ghee, mustard seeds, asafoetida, salt",5 minutes,20 minutes,Main Course,Maharashtra,"Sweet, Sour & Mild",,
Kothimbir Vadi,"coriander leaves, besan, sesame seeds, ginger, green chilli, turmeric, oil, salt",15 minutes,20 minutes,Snack,Maharashtra,"Make a thick batter with besan and chopped coriander leaves. | Add sesame seeds, green chilli, ginger paste and spices. | Steam the batter in a greased tray for 20 minutes. | Let it cool and cut into rectangles. | Shallow fry the pieces until golden and crispy on both sides. | Serve hot with chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/kothimbir-vadi-recipe.jpg,Crispy & Herby
Moong Dal Kheer,"moong dal, coconut milk, jaggery, cardamom, cashews, ghee",30 minutes (soaking),25 minutes,Dessert,Kerala,Dry roast moong dal until golden and aromatic. | Pressure cook with milk until soft. | Add sugar and cardamom powder and stir well. | Simmer on low flame until creamy and thickened. | Add saffron soaked in warm milk. | Garnish with cashews and raisins fried in ghee. | Serve warm or chilled.,https://www.vegrecipesofindia.com/wp-content/uploads/moong-dal-kheer-recipe.jpg,Sweet & Coconuty
Ada Pradhaman,"rice ada (flakes), coconut milk, jaggery, cardamom, cashews, raisins, ghee",15 minutes,30 minutes,Dessert,Kerala,Soak rice ada in water for 30 minutes and drain. | Cook ada in water until soft and set aside. | Heat coconut milk with jaggery until jaggery dissolves. | Add the cooked ada and stir. | Add thick coconut milk and cardamom powder. | Fry cashews and raisins in ghee and add. | Simmer for a few minutes and serve warm.,https://www.vegrecipesofindia.com/wp-content/uploads/ada-pradhaman-recipe.jpg,Sweet & Coconuty
Palada Payasam,"rice ada, milk, sugar, cardamom, rose water",10 minutes,60 minutes,Dessert,Kerala,"Soak rice ada in water for 20 minutes. | Boil milk and add ada, stirring continuously. | Cook on low flame until ada is very soft. | Add sugar and stir until dissolved. | Continue cooking until payasam thickens. | Add cardamom powder and rose water. | Serve warm or chilled.",https://www.vegrecipesofindia.com/wp-content/uploads/palada-payasam-recipe.jpg,Sweet & Creamy
Amrakhand,"hung curd, mango pulp, sugar, cardamom, saffron, pistachios",8 hours (straining),0 minutes,Dessert,Maharashtra,Hang curd in muslin cloth for 6-8 hours to drain whey. | Mix mango pulp into the hung curd. | Add powdered sugar and cardamom powder. | Whisk until smooth and creamy. | Chill in refrigerator for at least 1 hour. | Garnish with saffron and pistachio slivers before serving.,https://www.vegrecipesofindia.com/wp-content/uploads/amrakhand-recipe.jpg,Sweet & Fruity
Sitafal Shrikhand,"hung curd, custard apple pulp, sugar, cardamom, saffron, almonds",8 hours (straining),0 minutes,Dessert,Maharashtra,Hang curd overnight in muslin cloth to make chakka. | Scoop out custard apple pulp and remove seeds. | Blend the pulp until smooth. | Mix hung curd with sugar until dissolved. | Add custard apple puree and cardamom powder. | Whisk until creamy and chill before serving.,https://www.vegrecipesofindia.com/wp-content/uploads/sitafal-shrikhand-recipe.jpg,Creamy & Sweet
Mango Phirni,"basmati rice, milk, mango pulp, sugar, cardamom, saffron, pistachios",2 hours (soaking),30 minutes,Dessert,Punjab,"Soak basmati rice for 30 minutes and grind to a coarse paste. | Boil milk and add the rice paste, stirring continuously. | Cook on low flame until thick, stirring often. | Add sugar and cardamom powder and mix. | Let it cool slightly and add mango puree. | Pour into earthen pots or bowls and chill. | Garnish with pistachio and serve cold.",https://www.vegrecipesofindia.com/wp-content/uploads/mango-phirni-recipe.jpg,Sweet & Fruity
Badam Halwa,"blanched almonds, sugar, milk, ghee, cardamom, saffron",8 hours (soaking),30 minutes,Dessert,Karnataka,"Soak almonds overnight and peel them. | Blend to a coarse paste with a little milk. | Heat ghee in a pan and add the almond paste. | Cook on low flame, stirring continuously for 15 minutes. | Add sugar and saffron soaked in milk. | Continue stirring until halwa leaves the sides of the pan. | Garnish with cardamom and serve warm.",https://www.vegrecipesofindia.com/wp-content/uploads/badam-halwa-recipe.jpg,Rich & Sweet
Poha Chivda,"thin poha, peanuts, curry leaves, green chilli, mustard seeds, turmeric, sugar, oil, salt",10 minutes,15 minutes,Snack,Maharashtra,"Sweet, Salty & Crispy",,
Cornflakes Chivda,"cornflakes, peanuts, cashews, curry leaves, mustard seeds, turmeric, sugar, oil, salt",5 minutes,10 minutes,Snack,Maharashtra,"Heat oil and add mustard seeds and curry leaves. | Add peanuts and fry until golden. | Add cashews and raisins and fry briefly. | Add turmeric, red chilli powder and salt. | Add cornflakes and toss quickly to coat. | Mix in sugar and dried coconut. | Cool completely before storing.",https://www.vegrecipesofindia.com/wp-content/uploads/cornflakes-chivda-recipe.jpg,Crunchy & Sweet
Namkeen Mathri,"maida, besan, ajwain, cumin, ghee, salt, water",20 minutes,25 minutes,Snack,Rajasthan,"Mix maida and besan with ghee, ajwain and salt. | Add water to make stiff dough. | Roll thin and cut into rounds. | Prick with fork. | Deep fry on low heat until crisp. | Cool and store.",https://www.vegrecipesofindia.com/wp-content/uploads/namkeen-mathri-recipe.jpg,Crispy & Savory
Aloo Bhujia,"potato, besan, black pepper, ajwain, red chilli, oil, salt",15 minutes,20 minutes,Snack,Rajasthan,"Boil and grate potatoes. | Mix with besan, spices and salt to form a dough. | Press through a bhujia mould into hot oil. | Fry until golden and crispy. | Drain on paper towels. | Sprinkle chaat masala and toss. | Cool completely before serving.",https://www.vegrecipesofindia.com/wp-content/uploads/aloo-bhujia-recipe.jpg,Crispy & Spiced
Atta Ladoo,"whole wheat flour, jaggery, ghee, cardamom, almonds, raisins",10 minutes,20 minutes,Dessert,North Indian,"Roast wheat flour in ghee until golden and fragrant. | Cool slightly. | Mix with powdered jaggery, cardamom and dry fruits. | Shape into laddus while warm. | Cool completely before storing.",https://www.vegrecipesofindia.com/wp-content/uploads/atta-ladoo-recipe.jpg,Sweet & Wholesome
Dry Fruit Ladoo,"dates, figs, mixed dry fruits, cardamom, ghee",15 minutes,10 minutes,Dessert,North Indian,"Blend dates to a sticky paste in a food processor. | Roughly chop all dry fruits including cashews, almonds and walnuts. | Dry roast nuts lightly and let cool. | Mix date paste with all dry fruits. | Add cardamom powder and mix well. | Grease palms and roll into round ladoos. | Refrigerate for an hour before serving.",https://www.vegrecipesofindia.com/wp-content/uploads/dry-fruit-ladoo-recipe.jpg,Naturally Sweet
Ragi Ladoo,"ragi (finger millet) flour, jaggery, ghee, cardamom, coconut, sesame",10 minutes,20 minutes,Dessert,Karnataka,"Roast ragi flour in ghee until fragrant. | Mix with powdered jaggery, coconut, sesame and cardamom. | Shape into laddus while warm. | Cool and store.",https://www.vegrecipesofindia.com/wp-content/uploads/ragi-ladoo-recipe.jpg,Sweet & Earthy
Churma,"whole wheat flour, ghee, jaggery, cardamom, fennel seeds, almonds",20 minutes,30 minutes,Dessert,Rajasthan,"Make stiff wheat dough and shape into balls. | Deep fry until golden brown. | Cool and crush coarsely. | Mix with melted jaggery, ghee, cardamom and almonds. | Serve as part of dal baati churma.",https://www.vegrecipesofindia.com/wp-content/uploads/churma-recipe.jpg,Sweet & Wholesome
Toor Dal Soup,"toor dal, tomato, garlic, lemon juice, pepper, turmeric, oil, salt, coriander",5 minutes,20 minutes,Soup,South Indian,"Pressure cook dal with tomato and turmeric. | Blend until smooth. | Add lemon juice, pepper and salt. | Temper with oil and garlic. | Garnish with coriander. | Serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/toor-dal-soup-recipe.jpg,Light & Tangy
Moong Dal Soup,"yellow moong dal, ginger, garlic, turmeric, lemon juice, cumin, ghee, salt, coriander",5 minutes,20 minutes,Soup,North Indian,"Cook moong dal until soft. | Blend until smooth. | Add ginger, garlic and turmeric. | Temper with cumin in ghee. | Add lemon juice. | Garnish with coriander and serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/moong-dal-soup-recipe.jpg,Light & Comforting
Tomato Soup,"tomato, onion, garlic, butter, cream, black pepper, sugar, basil, salt",10 minutes,20 minutes,Soup,North Indian,"Saut̩ onion and garlic in butter. | Add tomatoes and cook until mushy. | Blend until smooth and strain. | Add sugar, pepper and cream. | Simmer briefly. | Garnish with basil. | Serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/tomato-soup-recipe.jpg,Tangy & Creamy
Spinach Soup,"spinach, onion, garlic, vegetable stock, cream, black pepper, nutmeg, butter, salt",10 minutes,20 minutes,Soup,North Indian,"Saut̩ onion and garlic in butter. | Add spinach and cook briefly. | Add stock and blend. | Add cream, pepper and nutmeg. | Simmer briefly. | Serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/spinach-soup-recipe.jpg,Creamy & Mild
Corn Soup,"sweet corn, onion, garlic, butter, milk, pepper, cornflour, spring onion, salt",10 minutes,20 minutes,Soup,Indo-Chinese,"Blend half the corn. | Saut̩ onion and garlic in butter. | Add corn, blended corn and milk. | Thicken with cornflour. | Season with pepper and salt. | Garnish with spring onion.",https://www.vegrecipesofindia.com/wp-content/uploads/sweet-corn-soup-recipe.jpg,Sweet & Creamy
Pumpkin Soup,"pumpkin, onion, garlic, ginger, coconut milk, cumin, black pepper, butter, salt",10 minutes,25 minutes,Soup,North Indian,"Roast pumpkin until tender. | Saut̩ onion, garlic and ginger in butter. | Add pumpkin and blend. | Add coconut milk and spices. | Simmer briefly. | Serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/pumpkin-soup-recipe.jpg,Sweet & Creamy
Minestrone Soup (Indian),"mixed vegetables, kidney beans, pasta, tomato, onion, garlic, Italian herbs, pepper, oil, salt",15 minutes,30 minutes,Soup,Fusion,"Saut̩ onion, garlic in oil. | Add vegetables and tomatoes. | Add stock and kidney beans. | Add pasta and herbs. | Simmer until all cooked. | Serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/minestrone-soup-recipe.jpg,Hearty & Savory
Mushroom Soup,"mushrooms, onion, garlic, butter, cream, thyme, pepper, vegetable stock, salt",10 minutes,20 minutes,Soup,Fusion,"Clean and slice mushrooms. | Heat butter and saute garlic and onion until soft. | Add mushrooms and cook until they release moisture. | Add vegetable stock and bring to a boil. | Simmer for 10 minutes and blend partially. | Add cream, salt and pepper. | Garnish with fresh herbs and serve hot.",https://www.vegrecipesofindia.com/wp-content/uploads/mushroom-soup-recipe.jpg,Earthy & Creamy
Hara Bhara Kabab,"spinach, green peas, potato, green chilli, ginger, garam masala, cornflour, oil, salt",20 minutes,20 minutes,Starter,North Indian,"Blanch spinach and squeeze dry. | Mix with mashed peas, potato and spices. | Shape into flat patties. | Shallow fry until golden on both sides. | Serve with mint chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/hara-bhara-kabab-recipe.jpg,Fresh & Savory
Dahi Ke Kebab,"hung curd, paneer, onion, green chilli, coriander, cornflour, garam masala, oil, salt",15 minutes,20 minutes,Starter,Mughlai,"Mix hung curd with crumbled paneer and spices. | Add onion, coriander and cornflour. | Shape into patties. | Shallow fry until golden and crisp. | Serve with chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/dahi-ke-kebab-recipe.jpg,Creamy & Mild
Soya Chaap Masala,"soya chaap, onion, tomato, ginger, garlic, curd, cream, garam masala, tandoori masala, oil, salt",30 minutes (marination),25 minutes,Main Course,North Indian,Marinate soya chaap in yogurt and spices for 30 minutes. | Heat oil and fry onions until dark golden. | Blend onions with tomatoes and cashews to a paste. | Cook the paste in oil with whole spices. | Add marinated soya chaap and cook on high flame. | Add water and simmer for 15 minutes. | Finish with cream and kasuri methi.,https://www.vegrecipesofindia.com/wp-content/uploads/soya-chaap-masala-recipe.jpg,Rich & Spiced
Paneer Achari Tikka,"paneer, yogurt, pickling spices, red chilli, mustard oil, kasuri methi, salt",30 minutes (marination),15 minutes,Starter,North Indian,"Marinate paneer in yogurt, pickling spices and mustard oil. | Leave for 30 minutes. | Grill or bake until charred slightly. | Sprinkle kasuri methi. | Serve hot with chutney.",https://www.vegrecipesofindia.com/wp-content/uploads/achari-paneer-tikka-recipe.jpg,Tangy & Smoky
Tandoori Aloo,"baby potatoes, yogurt, tandoori masala, ginger-garlic paste, lemon juice, oil, salt",30 minutes (marination),20 minutes,Starter,North Indian,"Boil baby potatoes until just cooked and prick with a fork. | Mix yogurt with tandoori masala, ginger-garlic paste and lemon juice. | Coat potatoes well in the marinade and rest for 30 minutes. | Brush with oil and roast in oven at 200C for 20 minutes. | Turn once halfway through cooking. | Finish on high heat for charred edges. | Serve with mint chutney and lemon wedges.",https://www.vegrecipesofindia.com/wp-content/uploads/tandoori-aloo-recipe.jpg,Smoky & Spiced
